model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
CDC CovidHub Ensemble,2021-01-30,2021-02-13,2,18754.0,17536,17557.0,20925.0,15189.0,21656.0,14612.0,22970.0,14007.0,24111.0
CDC CovidHub Ensemble,2021-01-30,2021-02-20,3,18071.0,13132,16133.0,19866.0,14509.0,20932.0,13542.0,22354.0,12438.0,23280.0
CDC CovidHub Ensemble,2021-01-30,2021-02-27,4,16941.0,14028,14797.0,18517.0,12937.0,20827.0,11900.0,22007.0,11286.0,22573.0
CDC CovidHub Ensemble,2021-02-06,2021-02-13,1,19686.0,17536,17934.0,20641.0,16527.0,22038.0,15871.0,22836.0,15534.0,23350.0
CDC CovidHub Ensemble,2021-02-06,2021-02-20,2,17542.0,13132,16154.0,19549.0,14843.0,20846.0,14290.0,21658.0,13628.0,22485.0
CDC CovidHub Ensemble,2021-02-06,2021-02-27,3,16157.0,14028,14615.0,17708.0,12913.0,19583.0,12305.0,20242.0,11567.0,20579.0
CDC CovidHub Ensemble,2021-02-06,2021-03-06,4,14949.0,11895,13163.0,16003.0,11524.0,18046.0,10958.0,19586.0,10288.0,20372.0
CDC CovidHub Ensemble,2021-02-13,2021-02-20,1,17715.0,13132,16452.0,19155.0,14908.0,20250.0,14314.0,20907.0,13943.0,21485.0
CDC CovidHub Ensemble,2021-02-13,2021-02-27,2,15889.0,14028,14507.0,17587.0,13049.0,19208.0,12568.0,19651.0,12222.0,20367.0
CDC CovidHub Ensemble,2021-02-13,2021-03-06,3,14016.0,11895,12727.0,16393.0,11154.0,18235.0,10455.0,19296.0,10057.0,19719.0
CDC CovidHub Ensemble,2021-02-13,2021-03-13,4,12666.0,8698,11067.0,14844.0,9618.0,16681.0,8928.0,17657.0,8358.0,18474.0
CDC CovidHub Ensemble,2021-02-20,2021-02-27,1,12321.0,14028,11267.0,13514.0,10567.0,14529.0,9943.0,15022.0,9703.0,15531.0
CDC CovidHub Ensemble,2021-02-20,2021-03-06,2,10859.0,11895,10145.0,11909.0,8952.0,12668.0,8126.0,13106.0,7495.0,13395.0
CDC CovidHub Ensemble,2021-02-20,2021-03-13,3,9611.0,8698,8112.0,10905.0,6897.0,12084.0,6290.0,12456.0,5856.0,12789.0
CDC CovidHub Ensemble,2021-02-20,2021-03-20,4,7922.0,7052,6719.0,9347.0,5394.0,10309.0,4614.0,11526.0,4292.0,12575.0
CDC CovidHub Ensemble,2021-02-27,2021-03-06,1,11549.0,11895,10249.0,12624.0,9486.0,13135.0,9074.0,13489.0,8627.0,13880.0
CDC CovidHub Ensemble,2021-02-27,2021-03-13,2,9996.0,8698,8858.0,11159.0,7685.0,11971.0,7020.0,12557.0,6548.0,12978.0
CDC CovidHub Ensemble,2021-02-27,2021-03-20,3,8860.0,7052,7392.0,9822.0,6516.0,10876.0,5901.0,12145.0,5476.0,12984.0
